SYMBOL,INTERVAL,DATA_DURATION,DATA_DURATION_UNITS,MIN_PRICE_RANGE_PCT,MAX_PRICE_RANGE_PCT,MIN_CANDLE_COUNT,MAX_CANDLE_COUNT,WINDOW_START_STRIDE,WINDOW_END_STRIDE,RESISTANCE_AREA_PCT,SUPPORT_AREA_PCT,MIN_HIT_RESISTANCE_COUNT,MIN_HIT_SUPPORT_COUNT,CONSIDER_PIN,MIN_ALTERNATION,MIN_LAST_CANDLE_RETURN_LIVE,LAST_CANDLE_MIN_PCT_ABOVE_SUPPORT_LIVE,NUM_CANDLES_PAUSE,PCT_CANDLES_PAUSE,MIN_BREAKOUT_PCT,USING_RATIO,MIN_OUTSIDE_CANDLE_COUNT,OUTSIDE_TO_INSIDE_CANDLE_RATIO,DESIRED_BINS,PEAK_TROUGH_LOOKUP_WIDTH,UNIQUE_HIT_VALUES,PRICE_RANGE_TOLERANCE,ABSOLUTE_NUM_CANDLES_DIFFERENCE,PCT_CANDLES_DIFFERENCE,NUM_CANDLES_DIFFERENCE,resistance_line,support_line,start_date,end_date,num_candles,price_range_pct,num_res_hits,num_sup_hits,num_res_breakouts,num_sup_breakouts,alternation,last_candle_return,last_candle_pct_above_support,resistance_hits,support_hits,breakout_type
AAPL,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,2.563851949012533,2.0402730994239087,2006-02-06,2006-06-21,95.0,0.2566219442566106,3.0,2.0,1.0,0.0,3.0,0.0067863045863833,0.0499558000894347,"['2006-02-22', '2006-04-06', '2006-04-28']","['2006-03-29', '2006-06-08']",BEARISH
AAPL,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,5.23544566847058,4.166852784795443,2007-06-04,2007-09-25,80.0,0.2564508368460622,3.0,2.0,0.0,0.0,3.0,0.0330456278396462,1.220166564253092,"['2007-07-23', '2007-07-26', '2007-09-04']","['2007-06-13', '2007-08-16']",BULLISH
AAPL,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,20.0,5.0,1.0,0.15,0.0,1.0,18.0,6.78988583621082,4.25303420372944,2007-12-31,2008-09-30,190.0,0.5964804210266735,2.0,4.0,1.0,0.0,3.0,0.0798024402971461,-0.0763734400920472,"['2008-05-06', '2008-05-28']","['2008-02-06', '2008-02-19', '2008-03-17', '2008-09-18']",BEARISH
AAPL,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,3.6668744949267422,2.9471821117540147,2008-11-06,2009-03-18,90.0,0.2441967804780149,2.0,3.0,0.0,3.0,5.0,0.018663277943037,0.9428082994280428,"['2008-12-09', '2009-02-09']","['2008-11-20', '2009-01-15', '2009-03-06']",BULLISH
AAPL,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,3.664169254833312,2.7937043460352022,2008-11-06,2009-03-25,95.0,0.3115808979692017,2.0,2.0,0.0,0.0,4.0,-9.383619084500164e-05,1.1597362707473473,"['2008-12-09', '2009-02-09']","['2008-11-21', '2009-01-20']",BULLISH
AAPL,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,5.162306711657839,4.790965407811771,2009-05-28,2009-07-16,35.0,0.0775086589522413,2.0,3.0,1.0,1.0,4.0,0.0043572164864113,1.2861631259570012,"['2009-06-04', '2009-07-01']","['2009-06-17', '2009-06-23', '2009-07-08']",BULLISH
AAPL,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,7.401725418604931,6.63228365765721,2009-09-17,2009-12-24,70.0,0.1160146038174005,2.0,2.0,0.0,4.0,3.0,0.0343394303592212,1.083162316443515,"['2009-10-21', '2009-11-16']","['2009-10-19', '2009-11-02']",BULLISH
AAPL,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,9.81869818471286,7.0282683609616745,2010-01-29,2010-09-23,165.0,0.3970294929616736,2.0,2.0,1.0,2.0,3.0,0.0040659833513223,1.179138318308754,"['2010-04-23', '2010-06-17']","['2010-02-22', '2010-05-06']",BULLISH
AAPL,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,9.793433394657528,8.430895806576101,2010-03-25,2010-09-21,125.0,0.1616124335232143,2.0,4.0,2.0,2.0,4.0,0.00190652700302,1.250421866772944,"['2010-04-26', '2010-06-17']","['2010-05-06', '2010-05-20', '2010-05-25', '2010-08-25']",BULLISH
AAPL,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,9.45996242951244,8.401419226014767,2010-04-23,2010-06-18,40.0,0.125995760361526,2.0,2.0,2.0,1.0,4.0,0.0080919929765347,1.310097215929722,"['2010-05-13', '2010-06-01']","['2010-05-06', '2010-05-20']",BULLISH
