SYMBOL,INTERVAL,DATA_DURATION,DATA_DURATION_UNITS,MIN_PRICE_RANGE_PCT,MAX_PRICE_RANGE_PCT,MIN_CANDLE_COUNT,MAX_CANDLE_COUNT,WINDOW_START_STRIDE,WINDOW_END_STRIDE,RESISTANCE_AREA_PCT,SUPPORT_AREA_PCT,MIN_HIT_RESISTANCE_COUNT,MIN_HIT_SUPPORT_COUNT,CONSIDER_PIN,MIN_ALTERNATION,MIN_LAST_CANDLE_RETURN_LIVE,LAST_CANDLE_MIN_PCT_ABOVE_SUPPORT_LIVE,NUM_CANDLES_PAUSE,PCT_CANDLES_PAUSE,MIN_BREAKOUT_PCT,USING_RATIO,MIN_OUTSIDE_CANDLE_COUNT,OUTSIDE_TO_INSIDE_CANDLE_RATIO,DESIRED_BINS,PEAK_TROUGH_LOOKUP_WIDTH,UNIQUE_HIT_VALUES,PRICE_RANGE_TOLERANCE,ABSOLUTE_NUM_CANDLES_DIFFERENCE,PCT_CANDLES_DIFFERENCE,NUM_CANDLES_DIFFERENCE,resistance_line,support_line,start_date,end_date,num_candles,price_range_pct,num_res_hits,num_sup_hits,num_res_breakouts,num_sup_breakouts,alternation,last_candle_return,last_candle_pct_above_support,resistance_hits,support_hits,breakout_type
AMT,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,38.00513465455923,35.73651248201807,2006-09-15,2006-11-24,50,0.0634819128946252,3,4,1,0,3,0.0007893342625364,1.0153689148374412,"['2006-10-13', '2006-11-09', '2006-11-16']","['2006-09-19', '2006-10-02', '2006-10-24', '2006-10-30']",BULLISH
AMT,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,45.11869052094984,36.21243926640469,2006-11-06,2007-11-02,250,0.2459445272113369,2,4,1,0,3,0.030523920410298,1.0136208999779843,"['2007-07-19', '2007-10-25']","['2006-11-10', '2006-12-13', '2007-01-08', '2007-08-16']",BULLISH
AMT,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,45.780450419716786,37.63584183994677,2007-01-11,2008-01-08,250,0.2164056437054453,5,6,1,2,3,-0.0293742396183237,0.0447115605969995,"['2007-07-20', '2007-10-26', '2007-11-02', '2007-11-16', '2007-11-29']","['2007-03-01', '2007-04-02', '2007-04-30', '2007-08-15', '2007-08-21', '2007-09-07']",BEARISH
AMT,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,46.3970611814747,41.73592498543397,2007-09-20,2007-12-13,60,0.1116816315360804,2,4,0,2,4,-0.0229117628689581,-0.1707580137651975,"['2007-10-29', '2007-11-30']","['2007-09-25', '2007-10-19', '2007-11-09', '2007-12-05']",BEARISH
AMT,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,41.25479432017519,35.3899020937842,2007-12-31,2008-04-03,65,0.1657221941685192,2,2,1,1,4,0.0168608098092102,0.9582607848204864,"['2008-02-26', '2008-03-26']","['2008-01-18', '2008-03-10']",BULLISH
AMT,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,43.009110403029766,39.26896532650984,2008-06-23,2008-09-09,55,0.0952442990392469,3,3,1,1,3,-0.0335335381203393,-0.1735136956850129,"['2008-06-25', '2008-07-30', '2008-08-11']","['2008-07-02', '2008-07-15', '2008-08-21']",BEARISH
AMT,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,32.21551321249876,25.634735281638992,2008-12-01,2009-04-02,85,0.2567133172454988,2,2,0,0,3,0.0507291828686474,1.1404828102182885,"['2009-01-28', '2009-03-23']","['2008-12-15', '2009-02-20']",BULLISH
AMT,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,44.616123490201765,39.19257857626507,2009-11-04,2010-06-17,155,0.138381936350092,2,4,0,4,4,0.0060402785940784,1.065248418906242,"['2010-01-06', '2010-03-16']","['2009-12-08', '2010-02-05', '2010-05-06', '2010-05-20']",BULLISH
AMT,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,42.318735359287885,38.91467498853646,2010-04-15,2010-06-10,40,0.0874749788287888,2,3,0,1,3,0.0290683195263776,1.2559482419604602,"['2010-04-20', '2010-05-18']","['2010-05-06', '2010-05-20', '2010-05-25']",BULLISH
AMT,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,46.93341498899526,43.73082072177501,2010-06-23,2010-08-18,40,0.07323425937043,3,2,1,1,3,0.0128664967794734,1.339282899457487,"['2010-07-07', '2010-07-26', '2010-08-02']","['2010-07-01', '2010-07-19']",BULLISH
