SYMBOL,INTERVAL,DATA_DURATION,DATA_DURATION_UNITS,MIN_PRICE_RANGE_PCT,MAX_PRICE_RANGE_PCT,MIN_CANDLE_COUNT,MAX_CANDLE_COUNT,WINDOW_START_STRIDE,WINDOW_END_STRIDE,RESISTANCE_AREA_PCT,SUPPORT_AREA_PCT,MIN_HIT_RESISTANCE_COUNT,MIN_HIT_SUPPORT_COUNT,CONSIDER_PIN,MIN_ALTERNATION,MIN_LAST_CANDLE_RETURN_LIVE,LAST_CANDLE_MIN_PCT_ABOVE_SUPPORT_LIVE,NUM_CANDLES_PAUSE,PCT_CANDLES_PAUSE,MIN_BREAKOUT_PCT,USING_RATIO,MIN_OUTSIDE_CANDLE_COUNT,OUTSIDE_TO_INSIDE_CANDLE_RATIO,DESIRED_BINS,PEAK_TROUGH_LOOKUP_WIDTH,UNIQUE_HIT_VALUES,PRICE_RANGE_TOLERANCE,ABSOLUTE_NUM_CANDLES_DIFFERENCE,PCT_CANDLES_DIFFERENCE,NUM_CANDLES_DIFFERENCE,resistance_line,support_line,start_date,end_date,num_candles,price_range_pct,num_res_hits,num_sup_hits,num_res_breakouts,num_sup_breakouts,alternation,last_candle_return,last_candle_pct_above_support,resistance_hits,support_hits,breakout_type
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,72.85744067925023,67.37427796505943,2007-01-24,2007-06-08,95,0.0813836211652522,4,3,0,1,3,0.0272962511572198,1.1098493561814435,"['2007-02-26', '2007-04-26', '2007-05-09', '2007-05-17']","['2007-03-01', '2007-03-13', '2007-03-29']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,85.21952658148226,70.80105234784317,2007-04-20,2007-09-25,110,0.2036477390590413,2,3,1,1,3,0.0314663063315016,1.2096507560372811,"['2007-08-08', '2007-09-06']","['2007-05-31', '2007-06-07', '2007-08-16']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,95.3512615172178,73.9954884521203,2007-06-06,2008-06-02,250,0.2886091234996851,4,3,1,1,3,-0.014913653007059,0.8841393788046676,"['2007-12-06', '2007-12-26', '2008-04-18', '2008-05-14']","['2007-06-21', '2007-08-16', '2008-01-22']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,84.8222334906131,74.1430739677102,2007-06-12,2007-09-19,70,0.144034485642634,2,2,0,1,3,0.0084278283818783,1.1418173250222163,"['2007-08-08', '2007-09-04']","['2007-06-27', '2007-08-16']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,94.9597853563418,78.23313444005035,2007-07-09,2008-06-25,245,0.2138051994977779,5,4,3,3,3,0.0086138529778741,0.9567774234238584,"['2007-12-06', '2007-12-26', '2008-04-18', '2008-04-28', '2008-05-14']","['2007-08-01', '2007-08-15', '2008-01-17', '2008-03-10']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,91.01367128521258,87.65464107629562,2007-09-26,2007-11-06,30,0.0383211906143477,4,3,2,0,5,0.0366269643515421,1.4968784803413246,"['2007-09-28', '2007-10-10', '2007-10-18', '2007-10-25']","['2007-10-03', '2007-10-22', '2007-11-02']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,55.285942520252334,40.20723666417335,2008-10-15,2009-04-22,130,0.3750246748370763,4,3,4,1,4,0.0540912735098145,1.087477879061813,"['2008-11-03', '2008-11-10', '2009-01-06', '2009-03-26']","['2008-11-20', '2008-12-01', '2009-03-02']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,70.80666639540823,67.65308193519249,2009-08-05,2009-09-16,30,0.0466140546743558,4,4,1,1,6,0.0275038401438732,1.7796933730186282,"['2009-08-13', '2009-08-21', '2009-08-28', '2009-09-09']","['2009-08-11', '2009-08-17', '2009-09-02', '2009-09-14']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,88.39726067575677,77.0962810636765,2010-10-25,2011-07-05,175,0.146582681501153,4,3,0,0,3,-0.0016588811838323,1.059965386293613,"['2011-02-18', '2011-04-26', '2011-05-10', '2011-05-31']","['2010-10-27', '2010-11-12', '2011-03-16']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,88.00413009940782,82.7708596140751,2011-04-21,2011-07-01,50,0.0632260013938866,3,4,1,0,3,0.0091023139678773,1.2328961290278793,"['2011-04-26', '2011-05-10', '2011-05-31']","['2011-05-17', '2011-05-23', '2011-06-03', '2011-06-16']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,85.73366918162915,71.30792677304217,2011-07-21,2012-07-02,240,0.2023020870386686,4,10,1,3,3,-0.0137496093657816,0.1626325617985652,"['2012-01-19', '2012-02-16', '2012-03-16', '2012-03-27']","['2011-08-08', '2011-08-18', '2011-09-06', '2011-09-12', '2011-09-22', '2011-09-30', '2011-11-23', '2012-05-18', '2012-06-01', '2012-06-14']",BEARISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,79.95385741111423,71.0360091296526,2012-04-23,2013-01-09,180,0.1255398267825697,2,4,1,0,4,0.0134807857727407,1.1586980426494942,"['2012-10-18', '2012-12-26']","['2012-06-01', '2012-06-25', '2012-07-12', '2012-10-22']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,79.16621870005997,75.42520554092711,2012-08-03,2012-10-19,55,0.049598978647833,2,3,0,0,3,-0.062800259780242,-0.3819569021794018,"['2012-09-14', '2012-10-18']","['2012-08-30', '2012-09-04', '2012-10-12']",BEARISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,83.37369635588254,77.96128654287641,2013-01-02,2013-05-03,85,0.0694243265217214,2,3,0,0,3,0.0085354406501125,0.9441157748602192,"['2013-01-23', '2013-03-14']","['2013-02-25', '2013-04-03', '2013-04-23']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,101.76598965753271,93.35883210145316,2013-07-24,2013-10-23,65,0.0900520857731325,3,2,0,1,3,-0.0096661780098528,1.0705274290668156,"['2013-07-31', '2013-09-19', '2013-09-26']","['2013-08-15', '2013-08-28']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,105.2195227104163,94.840931021507,2013-09-09,2014-02-13,110,0.1094315669102378,3,2,0,0,3,0.0452311082424729,1.284127447777958,"['2013-09-26', '2013-12-24', '2014-01-22']","['2013-10-08', '2014-02-05']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,103.29665144887844,98.5936020571308,2013-10-15,2013-12-24,50,0.0477013649326093,2,4,0,0,3,0.0023995963389038,1.2215426066878214,"['2013-10-22', '2013-11-22']","['2013-10-31', '2013-12-03', '2013-12-11', '2013-12-17']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,126.0926516841216,110.12518010597488,2014-05-19,2014-11-19,130,0.1449938294110483,4,2,0,2,3,0.0233261183149799,1.3379816844194583,"['2014-07-23', '2014-09-18', '2014-10-30', '2014-11-07']","['2014-06-12', '2014-10-13']",BULLISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,126.08763866202992,118.64137270797212,2014-06-19,2014-10-03,75,0.0627628101740385,3,3,0,2,3,0.0089468039089013,0.038347451403804,"['2014-07-23', '2014-09-18', '2014-09-24']","['2014-06-25', '2014-07-17', '2014-09-11']",BEARISH
APD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,137.3420973258933,118.5344138374308,2015-04-29,2016-01-06,175,0.1586685493232126,3,5,1,1,3,-0.0243537432476563,-0.2137465896622882,"['2015-06-11', '2015-06-18', '2015-08-04']","['2015-07-27', '2015-08-24', '2015-09-24', '2015-12-11', '2015-12-18']",BEARISH
