SYMBOL,INTERVAL,DATA_DURATION,DATA_DURATION_UNITS,MIN_PRICE_RANGE_PCT,MAX_PRICE_RANGE_PCT,MIN_CANDLE_COUNT,MAX_CANDLE_COUNT,WINDOW_START_STRIDE,WINDOW_END_STRIDE,RESISTANCE_AREA_PCT,SUPPORT_AREA_PCT,MIN_HIT_RESISTANCE_COUNT,MIN_HIT_SUPPORT_COUNT,CONSIDER_PIN,MIN_ALTERNATION,MIN_LAST_CANDLE_RETURN_LIVE,LAST_CANDLE_MIN_PCT_ABOVE_SUPPORT_LIVE,NUM_CANDLES_PAUSE,PCT_CANDLES_PAUSE,MIN_BREAKOUT_PCT,USING_RATIO,MIN_OUTSIDE_CANDLE_COUNT,OUTSIDE_TO_INSIDE_CANDLE_RATIO,DESIRED_BINS,PEAK_TROUGH_LOOKUP_WIDTH,UNIQUE_HIT_VALUES,PRICE_RANGE_TOLERANCE,ABSOLUTE_NUM_CANDLES_DIFFERENCE,PCT_CANDLES_DIFFERENCE,NUM_CANDLES_DIFFERENCE,resistance_line,support_line,start_date,end_date,num_candles,price_range_pct,num_res_hits,num_sup_hits,num_res_breakouts,num_sup_breakouts,alternation,last_candle_return,last_candle_pct_above_support,resistance_hits,support_hits,breakout_type
COP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,53.99452039561494,43.713402960158234,2005-06-17,2006-06-14,250,0.2351937103781931,3,5,1,0,3,0.0267656791799625,0.156980993265993,"['2005-09-19', '2005-09-29', '2006-04-18']","['2005-06-21', '2005-10-20', '2005-12-13', '2005-12-27', '2006-02-14']",BEARISH
COP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,47.9375865121024,44.69007654741282,2006-02-06,2006-03-27,35,0.0726673618749391,4,4,0,1,4,0.0216969570767583,1.0506819550815756,"['2006-02-21', '2006-02-24', '2006-03-02', '2006-03-17']","['2006-02-08', '2006-02-14', '2006-03-08', '2006-03-10']",BULLISH
COP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,52.86858855213089,43.559569845623145,2006-04-25,2006-10-05,115,0.2137077739633168,3,2,1,0,3,0.0193730738940776,0.0605126077360477,"['2006-05-01', '2006-07-07', '2006-07-26']","['2006-06-13', '2006-09-20']",BEARISH
COP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,67.88217590586225,57.79475738086868,2007-05-18,2008-01-18,170,0.1745386429865475,4,6,1,4,5,-0.0080294186829993,-0.2210182083670728,"['2007-07-12', '2007-09-19', '2007-10-17', '2007-12-26']","['2007-06-08', '2007-06-26', '2007-08-06', '2007-08-10', '2007-08-16', '2007-11-27']",BEARISH
COP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,67.99318587818844,59.220385191037266,2007-07-09,2008-01-17,135,0.1481381902338402,5,4,1,2,4,-0.0468283483752333,-0.3653750982739042,"['2007-07-12', '2007-09-19', '2007-09-28', '2007-10-17', '2007-12-26']","['2007-08-03', '2007-08-09', '2007-11-13', '2007-11-15']",BEARISH
COP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,35.60425265793054,30.07014447954094,2009-03-19,2009-10-06,140,0.1840399597067078,5,2,1,4,3,0.011491831243331,1.2348149049634385,"['2009-05-08', '2009-05-19', '2009-05-29', '2009-06-10', '2009-09-10']","['2009-04-07', '2009-07-06']",BULLISH
COP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,41.028816270077456,37.744306556580206,2009-10-09,2010-01-27,75,0.0870200041580745,6,3,0,1,4,-0.0122941941988129,0.0690156798085248,"['2009-10-21', '2009-11-10', '2009-11-16', '2009-11-23', '2010-01-11', '2010-01-19']","['2009-10-28', '2009-10-30', '2009-12-18']",BEARISH
COP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,61.40495429151278,54.30452364559241,2011-01-28,2011-08-03,130,0.1307521025736254,4,5,1,5,5,-0.0009911107518264,-0.0725968325995988,"['2011-03-04', '2011-03-25', '2011-04-20', '2011-07-14']","['2011-03-15', '2011-05-05', '2011-05-12', '2011-06-02', '2011-06-23']",BEARISH
COP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,58.452323668343645,55.92077192779034,2012-09-07,2012-11-12,45,0.0452703289543688,4,2,1,0,5,-0.0005388679770715,-0.1109092631385589,"['2012-09-14', '2012-10-18', '2012-11-01', '2012-11-06']","['2012-10-12', '2012-10-23']",BEARISH
COP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,74.0618204370329,72.21048478768466,2013-10-23,2013-12-04,30,0.0256380448738378,3,3,1,0,5,-0.0146267081652943,-0.4323803335484276,"['2013-10-25', '2013-11-06', '2013-11-22']","['2013-11-01', '2013-11-07', '2013-11-18']",BEARISH
