SYMBOL,INTERVAL,DATA_DURATION,DATA_DURATION_UNITS,MIN_PRICE_RANGE_PCT,MAX_PRICE_RANGE_PCT,MIN_CANDLE_COUNT,MAX_CANDLE_COUNT,WINDOW_START_STRIDE,WINDOW_END_STRIDE,RESISTANCE_AREA_PCT,SUPPORT_AREA_PCT,MIN_HIT_RESISTANCE_COUNT,MIN_HIT_SUPPORT_COUNT,CONSIDER_PIN,MIN_ALTERNATION,MIN_LAST_CANDLE_RETURN_LIVE,LAST_CANDLE_MIN_PCT_ABOVE_SUPPORT_LIVE,NUM_CANDLES_PAUSE,PCT_CANDLES_PAUSE,MIN_BREAKOUT_PCT,USING_RATIO,MIN_OUTSIDE_CANDLE_COUNT,OUTSIDE_TO_INSIDE_CANDLE_RATIO,DESIRED_BINS,PEAK_TROUGH_LOOKUP_WIDTH,UNIQUE_HIT_VALUES,PRICE_RANGE_TOLERANCE,ABSOLUTE_NUM_CANDLES_DIFFERENCE,PCT_CANDLES_DIFFERENCE,NUM_CANDLES_DIFFERENCE,resistance_line,support_line,start_date,end_date,num_candles,price_range_pct,num_res_hits,num_sup_hits,num_res_breakouts,num_sup_breakouts,alternation,last_candle_return,last_candle_pct_above_support,resistance_hits,support_hits,breakout_type
DUK,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,51.79576548608042,47.45906431158115,2005-12-15,2006-07-21,150,0.0913777217778187,4,2,0,1,3,0.0033411613013976,1.1281005486554871,"['2006-03-30', '2006-04-05', '2006-06-29', '2006-07-12']","['2005-12-30', '2006-05-17']",BULLISH
DUK,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,50.19399870955948,48.373539565960414,2006-01-17,2006-03-14,40,0.0376333665043624,4,3,1,0,3,0.0069275968767565,1.2657196962887678,"['2006-01-20', '2006-01-24', '2006-02-01', '2006-02-21']","['2006-02-08', '2006-02-15', '2006-03-06']",BULLISH
DUK,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,56.81041939740939,51.20594737914713,2008-01-22,2008-10-06,180,0.1094496304650853,4,5,2,0,4,-0.0144009211526713,0.0221349043234261,"['2008-02-01', '2008-05-02', '2008-05-14', '2008-09-19']","['2008-03-07', '2008-06-27', '2008-07-11', '2008-08-01', '2008-09-03']",BEARISH
DUK,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,55.86212535513479,51.15036088471315,2008-05-13,2008-10-09,105,0.0921159575206399,3,5,2,0,4,-0.1051388079608276,-1.2098143185123154,"['2008-05-30', '2008-08-11', '2008-09-18']","['2008-06-27', '2008-07-11', '2008-07-15', '2008-07-23', '2008-09-03']",BEARISH
DUK,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,50.754745929307006,43.35437978180022,2008-10-07,2009-02-23,95,0.1706947760469034,2,7,2,1,5,-0.0176553674218923,-0.2194999824584559,"['2008-10-14', '2008-10-29']","['2008-10-10', '2008-10-16', '2008-11-20', '2008-12-02', '2008-12-09', '2009-01-15', '2009-01-21']",BEARISH
DUK,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,47.32802491201605,43.31295653828761,2008-11-14,2009-02-19,65,0.0926990142125074,4,6,0,0,6,0.0062456733893757,0.0465853739717765,"['2008-11-19', '2008-11-24', '2009-01-05', '2009-02-05']","['2008-11-20', '2008-12-02', '2008-12-09', '2008-12-18', '2008-12-23', '2009-01-21']",BEARISH
DUK,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,53.36598522522149,46.21030935553251,2009-09-25,2010-09-22,250,0.1548502048457346,2,2,1,0,3,0.0106801518874246,1.0802179153920286,"['2009-12-10', '2010-08-10']","['2009-10-02', '2010-05-25']",BULLISH
DUK,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,50.89223817262418,48.07939026251747,2010-01-21,2010-05-21,85,0.0585042342414978,2,4,0,1,4,0.0018785254200486,-0.0282241575281114,"['2010-05-03', '2010-05-10']","['2010-02-11', '2010-04-15', '2010-04-23', '2010-05-06']",BEARISH
DUK,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,49.882672473910645,48.8783379664911,2010-02-19,2010-04-09,35,0.0205476403086388,2,5,2,0,5,0.0055418811781338,0.1111817936661305,"['2010-03-16', '2010-03-30']","['2010-02-24', '2010-03-04', '2010-03-15', '2010-03-24', '2010-04-06']",BEARISH
DUK,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,55.61998975964219,52.14223078128689,2010-08-27,2011-04-29,170,0.0666975487286481,2,4,0,2,3,-0.0016059984139463,1.094891855747098,"['2010-11-04', '2011-04-06']","['2010-11-29', '2010-12-07', '2011-01-10', '2011-03-17']",BULLISH
