SYMBOL,INTERVAL,DATA_DURATION,DATA_DURATION_UNITS,MIN_PRICE_RANGE_PCT,MAX_PRICE_RANGE_PCT,MIN_CANDLE_COUNT,MAX_CANDLE_COUNT,WINDOW_START_STRIDE,WINDOW_END_STRIDE,RESISTANCE_AREA_PCT,SUPPORT_AREA_PCT,MIN_HIT_RESISTANCE_COUNT,MIN_HIT_SUPPORT_COUNT,CONSIDER_PIN,MIN_ALTERNATION,MIN_LAST_CANDLE_RETURN_LIVE,LAST_CANDLE_MIN_PCT_ABOVE_SUPPORT_LIVE,NUM_CANDLES_PAUSE,PCT_CANDLES_PAUSE,MIN_BREAKOUT_PCT,USING_RATIO,MIN_OUTSIDE_CANDLE_COUNT,OUTSIDE_TO_INSIDE_CANDLE_RATIO,DESIRED_BINS,PEAK_TROUGH_LOOKUP_WIDTH,UNIQUE_HIT_VALUES,PRICE_RANGE_TOLERANCE,ABSOLUTE_NUM_CANDLES_DIFFERENCE,PCT_CANDLES_DIFFERENCE,NUM_CANDLES_DIFFERENCE,resistance_line,support_line,start_date,end_date,num_candles,price_range_pct,num_res_hits,num_sup_hits,num_res_breakouts,num_sup_breakouts,alternation,last_candle_return,last_candle_pct_above_support,resistance_hits,support_hits,breakout_type
HD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,40.32826808273036,39.36289017115235,2005-05-19,2005-06-23,25,0.0245250769793702,5,4,1,2,5,-0.0141058277715144,-0.2308844845430279,"['2005-05-23', '2005-06-02', '2005-06-07', '2005-06-15', '2005-06-21']","['2005-05-20', '2005-05-25', '2005-05-31', '2005-06-10']",BEARISH
HD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,43.93330159123444,37.70807521915609,2005-06-09,2006-06-06,250,0.1650900062094887,2,3,0,0,3,-0.0106779957543416,-0.1041044625737381,"['2005-07-20', '2006-03-23']","['2005-09-22', '2005-09-28', '2006-05-17']",BEARISH
HD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,42.95326748456897,39.69084953387724,2005-10-21,2006-02-01,70,0.0821957198952661,4,2,2,1,3,-0.0078914846077668,0.1652608637237211,"['2005-11-14', '2005-11-18', '2005-11-23', '2006-01-11']","['2006-01-03', '2006-01-05']",BEARISH
HD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,39.499362941528794,37.87069535485374,2007-04-05,2007-06-08,45,0.043006012205855,5,2,1,0,3,0.0077005023022397,0.0486934281338642,"['2007-04-17', '2007-04-25', '2007-05-10', '2007-05-14', '2007-06-01']","['2007-04-11', '2007-04-30']",BEARISH
HD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,38.31047193699831,32.45355485779848,2007-07-25,2007-10-17,60,0.1804707405664201,2,2,0,0,3,-0.0224545577538272,-0.1150014866259627,"['2007-08-02', '2007-08-31']","['2007-08-16', '2007-09-25']",BEARISH
HD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,30.716328186342096,24.66712634978427,2007-10-30,2008-06-25,165,0.2452333421728604,2,4,1,0,4,0.0063216061156938,0.1327237849327708,"['2008-01-31', '2008-05-01']","['2008-01-04', '2008-01-22', '2008-03-10', '2008-03-17']",BEARISH
HD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,25.3478955937343,17.970761228102447,2008-09-29,2009-04-20,140,0.410507616900256,3,6,2,0,3,-0.0363984961323574,0.97317441090324,"['2008-12-08', '2008-12-17', '2009-01-06']","['2008-10-10', '2008-10-16', '2008-10-23', '2008-11-20', '2009-02-23', '2009-03-05']",BULLISH
HD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,23.596547883131144,18.5062576276301,2008-10-09,2008-12-04,40,0.2750577862863625,2,4,0,1,3,0.020210855880789,0.9260261103245108,"['2008-10-31', '2008-11-26']","['2008-10-10', '2008-10-16', '2008-10-23', '2008-11-20']",BULLISH
HD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,36.467766482577666,32.91963224902068,2010-04-19,2010-06-07,35,0.1077817093069907,2,2,0,2,3,-0.0186625897462366,-0.3860149931777194,"['2010-04-23', '2010-05-18']","['2010-05-06', '2010-05-20']",BEARISH
HD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,34.797545965972596,31.60941357599687,2011-08-16,2011-10-18,45,0.1008602194504704,4,4,0,3,4,0.0375180138474055,1.3614827290706184,"['2011-08-25', '2011-09-16', '2011-09-20', '2011-09-27']","['2011-08-18', '2011-09-06', '2011-09-09', '2011-10-03']",BULLISH
