SYMBOL,INTERVAL,DATA_DURATION,DATA_DURATION_UNITS,MIN_PRICE_RANGE_PCT,MAX_PRICE_RANGE_PCT,MIN_CANDLE_COUNT,MAX_CANDLE_COUNT,WINDOW_START_STRIDE,WINDOW_END_STRIDE,RESISTANCE_AREA_PCT,SUPPORT_AREA_PCT,MIN_HIT_RESISTANCE_COUNT,MIN_HIT_SUPPORT_COUNT,CONSIDER_PIN,MIN_ALTERNATION,MIN_LAST_CANDLE_RETURN_LIVE,LAST_CANDLE_MIN_PCT_ABOVE_SUPPORT_LIVE,NUM_CANDLES_PAUSE,PCT_CANDLES_PAUSE,MIN_BREAKOUT_PCT,USING_RATIO,MIN_OUTSIDE_CANDLE_COUNT,OUTSIDE_TO_INSIDE_CANDLE_RATIO,DESIRED_BINS,PEAK_TROUGH_LOOKUP_WIDTH,UNIQUE_HIT_VALUES,PRICE_RANGE_TOLERANCE,ABSOLUTE_NUM_CANDLES_DIFFERENCE,PCT_CANDLES_DIFFERENCE,NUM_CANDLES_DIFFERENCE,resistance_line,support_line,start_date,end_date,num_candles,price_range_pct,num_res_hits,num_sup_hits,num_res_breakouts,num_sup_breakouts,alternation,last_candle_return,last_candle_pct_above_support,resistance_hits,support_hits,breakout_type
JNJ,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,61.05153557162248,57.42485397289323,2006-02-06,2006-06-07,85,0.0631552602718186,2,3,0,1,3,0.0037741967085559,1.032664184626613,"['2006-03-22', '2006-05-24']","['2006-02-24', '2006-02-28', '2006-04-10']",BULLISH
JNJ,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,67.24093192603283,65.60377753425028,2006-11-10,2007-01-18,45,0.024955184797519,3,5,1,3,5,0.0125616315745337,1.2865136976660485,"['2006-11-17', '2006-12-19', '2007-01-04']","['2006-11-14', '2006-11-27', '2006-11-30', '2006-12-08', '2006-12-22']",BULLISH
JNJ,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,68.40113752498902,61.24971218544652,2007-08-02,2008-07-29,250,0.1167585133770105,4,2,0,3,3,0.0,1.0110279878765558,"['2007-11-26', '2007-12-21', '2008-01-09', '2008-05-02']","['2008-02-11', '2008-03-07']",BULLISH
JNJ,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,68.46047660127672,62.655894315314114,2007-09-12,2008-07-18,215,0.0926422382027013,4,3,0,6,3,-0.0001474588819174,0.8896601211078721,"['2007-11-28', '2007-12-21', '2008-01-09', '2008-05-02']","['2008-01-23', '2008-01-25', '2008-02-28']",BULLISH
JNJ,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,64.45059234511768,56.031670391988754,2008-10-07,2009-02-23,95,0.1502529175773536,3,5,2,2,3,-0.0182982611542373,-0.2828947553344036,"['2008-10-14', '2008-10-17', '2008-10-28']","['2008-10-10', '2008-11-20', '2008-12-01', '2008-12-12', '2009-01-15']",BEARISH
JNJ,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,61.30302222729906,59.66826208738572,2009-08-03,2009-10-05,45,0.0273974820570304,5,5,0,0,4,0.0015067830784805,0.0928194930459597,"['2009-08-05', '2009-08-21', '2009-09-18', '2009-09-23', '2009-09-28']","['2009-08-06', '2009-08-10', '2009-08-14', '2009-09-01', '2009-09-16']",BEARISH
JNJ,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,65.31173677356344,62.4196455303651,2009-11-18,2010-04-07,95,0.0463330289466547,5,4,2,1,3,-0.0013779871574774,0.9682805467925472,"['2009-12-04', '2009-12-14', '2009-12-29', '2010-01-13', '2010-03-19']","['2009-11-27', '2010-01-26', '2010-02-05', '2010-02-25']",BULLISH
JNJ,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,66.04924533952646,62.357554221783154,2009-11-18,2010-05-19,125,0.0592019870537787,3,4,0,2,4,-0.0119104333088914,-0.03726015982727,"['2010-01-20', '2010-04-05', '2010-04-19']","['2010-01-26', '2010-02-05', '2010-02-25', '2010-05-06']",BEARISH
JNJ,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,66.15620122769747,61.32960076163201,2011-08-04,2012-06-18,220,0.0786993622349649,6,4,0,1,3,0.0043932874737504,1.029793604229598,"['2011-08-29', '2011-09-08', '2011-12-23', '2012-01-31', '2012-02-23', '2012-03-30']","['2011-08-05', '2011-09-22', '2011-10-04', '2011-11-25']",BULLISH
JNJ,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,65.88900982060932,62.1682229294343,2011-08-12,2012-06-19,215,0.0598503015825045,7,7,1,4,6,0.006334813719653,1.223337542406623,"['2011-08-29', '2011-09-08', '2011-10-28', '2011-12-23', '2012-01-26', '2012-02-23', '2012-03-30']","['2011-08-18', '2011-09-12', '2011-09-22', '2011-10-03', '2011-10-19', '2011-11-23', '2012-05-25']",BULLISH
