SYMBOL,INTERVAL,DATA_DURATION,DATA_DURATION_UNITS,MIN_PRICE_RANGE_PCT,MAX_PRICE_RANGE_PCT,MIN_CANDLE_COUNT,MAX_CANDLE_COUNT,WINDOW_START_STRIDE,WINDOW_END_STRIDE,RESISTANCE_AREA_PCT,SUPPORT_AREA_PCT,MIN_HIT_RESISTANCE_COUNT,MIN_HIT_SUPPORT_COUNT,CONSIDER_PIN,MIN_ALTERNATION,MIN_LAST_CANDLE_RETURN_LIVE,LAST_CANDLE_MIN_PCT_ABOVE_SUPPORT_LIVE,NUM_CANDLES_PAUSE,PCT_CANDLES_PAUSE,MIN_BREAKOUT_PCT,USING_RATIO,MIN_OUTSIDE_CANDLE_COUNT,OUTSIDE_TO_INSIDE_CANDLE_RATIO,DESIRED_BINS,PEAK_TROUGH_LOOKUP_WIDTH,UNIQUE_HIT_VALUES,PRICE_RANGE_TOLERANCE,ABSOLUTE_NUM_CANDLES_DIFFERENCE,PCT_CANDLES_DIFFERENCE,NUM_CANDLES_DIFFERENCE,resistance_line,support_line,start_date,end_date,num_candles,price_range_pct,num_res_hits,num_sup_hits,num_res_breakouts,num_sup_breakouts,alternation,last_candle_return,last_candle_pct_above_support,resistance_hits,support_hits,breakout_type
NEE,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,10.846472718002056,10.207161085218369,2005-10-25,2006-02-03,70,0.0626336380357037,7,3,0,0,5,-0.0068931262102296,-0.1910821590082461,"['2005-10-31', '2005-11-04', '2005-11-18', '2005-11-25', '2005-12-14', '2005-12-19', '2006-01-20']","['2005-11-15', '2005-12-27', '2006-01-26']",BEARISH
NEE,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,18.16204204441825,16.4948492841964,2007-10-26,2008-01-15,55,0.1010735370476635,2,3,0,2,3,-0.0039276024084871,0.7543526338813182,"['2007-12-04', '2008-01-07']","['2007-11-02', '2007-11-15', '2008-01-02']",BULLISH
NEE,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,16.681634881489423,14.960184694797253,2008-01-17,2008-04-28,70,0.1150687790165347,2,5,3,1,4,-0.0028514906174931,0.9583872529733156,"['2008-02-04', '2008-04-02']","['2008-01-22', '2008-02-29', '2008-03-07', '2008-03-17', '2008-03-20']",BULLISH
NEE,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,17.116421872990216,15.877760686795169,2008-04-01,2008-07-30,85,0.0780123350281497,2,3,0,2,3,0.0065882065716911,0.132997511569092,"['2008-05-02', '2008-07-11']","['2008-05-16', '2008-06-10', '2008-06-27']",BEARISH
NEE,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,16.876056988936583,15.894704202487937,2008-04-29,2008-07-09,50,0.0617408650042722,4,3,1,0,5,0.0160605690696022,0.8868321353730046,"['2008-04-30', '2008-05-21', '2008-05-29', '2008-06-13']","['2008-05-16', '2008-06-10', '2008-06-27']",BULLISH
NEE,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,12.191744637884636,10.751117218271634,2008-10-31,2008-12-05,25,0.1339979269470376,2,3,0,0,3,0.0397038261634482,0.5805681530643894,"['2008-11-14', '2008-11-21']","['2008-11-06', '2008-11-11', '2008-11-20']",BEARISH
NEE,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,13.239901748051189,10.75802190025346,2008-10-31,2009-05-01,125,0.2307003899796163,4,5,2,1,3,0.0420152125500488,1.3112955133180633,"['2009-01-05', '2009-01-29', '2009-02-03', '2009-04-03']","['2008-11-06', '2008-11-11', '2008-11-20', '2008-12-05', '2009-03-03']",BULLISH
NEE,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,13.235719909013092,12.09196767162686,2010-03-29,2010-08-04,90,0.0945877683803261,3,5,1,2,4,-0.002605195384685,1.143632251939984,"['2010-05-03', '2010-05-10', '2010-06-18']","['2010-04-14', '2010-05-25', '2010-06-04', '2010-06-23', '2010-06-29']",BULLISH
NEE,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,14.11908033124764,12.680060071294545,2010-07-06,2011-05-03,210,0.1134868645623208,2,2,1,1,3,0.0136042487371398,1.1552579959720874,"['2010-10-20', '2011-04-04']","['2010-11-23', '2010-12-15']",BULLISH
NEE,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,17.86327155580706,16.64608411799763,2012-06-07,2012-10-19,95,0.0731215479377167,2,2,0,3,3,-0.0045801778914239,1.0548220818716407,"['2012-07-27', '2012-10-04']","['2012-06-21', '2012-09-06']",BULLISH
