SYMBOL,INTERVAL,DATA_DURATION,DATA_DURATION_UNITS,MIN_PRICE_RANGE_PCT,MAX_PRICE_RANGE_PCT,MIN_CANDLE_COUNT,MAX_CANDLE_COUNT,WINDOW_START_STRIDE,WINDOW_END_STRIDE,RESISTANCE_AREA_PCT,SUPPORT_AREA_PCT,MIN_HIT_RESISTANCE_COUNT,MIN_HIT_SUPPORT_COUNT,CONSIDER_PIN,MIN_ALTERNATION,MIN_LAST_CANDLE_RETURN_LIVE,LAST_CANDLE_MIN_PCT_ABOVE_SUPPORT_LIVE,NUM_CANDLES_PAUSE,PCT_CANDLES_PAUSE,MIN_BREAKOUT_PCT,USING_RATIO,MIN_OUTSIDE_CANDLE_COUNT,OUTSIDE_TO_INSIDE_CANDLE_RATIO,DESIRED_BINS,PEAK_TROUGH_LOOKUP_WIDTH,UNIQUE_HIT_VALUES,PRICE_RANGE_TOLERANCE,ABSOLUTE_NUM_CANDLES_DIFFERENCE,PCT_CANDLES_DIFFERENCE,NUM_CANDLES_DIFFERENCE,resistance_line,support_line,start_date,end_date,num_candles,price_range_pct,num_res_hits,num_sup_hits,num_res_breakouts,num_sup_breakouts,alternation,last_candle_return,last_candle_pct_above_support,resistance_hits,support_hits,breakout_type
PLD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,40.06272864988888,36.94028316113509,2005-01-04,2005-05-19,95,0.0845268422857927,2,3,1,1,3,0.0128078935297282,1.3386032793218927,"['2005-01-19', '2005-03-04']","['2005-01-27', '2005-03-23', '2005-04-04']",BULLISH
PLD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,66.10685684642417,49.149420954870806,2007-01-24,2008-01-18,250,0.3450180197875321,3,3,0,1,3,-0.0165470099458192,0.0106490673082143,"['2007-02-14', '2007-10-10', '2007-10-31']","['2007-08-06', '2007-08-09', '2008-01-09']",BEARISH
PLD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,59.74009057455882,46.49203250003977,2007-12-12,2008-08-21,175,0.2849532997833063,3,5,1,0,3,-0.0340808982555308,-0.1933892635775601,"['2008-04-23', '2008-05-14', '2008-05-29']","['2008-01-09', '2008-03-06', '2008-07-11', '2008-07-28', '2008-08-07']",BEARISH
PLD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,25.365380423279717,20.5988954567403,2009-08-03,2009-12-22,100,0.2313951724523046,4,3,1,1,3,0.0126084165781818,1.0702027473093405,"['2009-09-16', '2009-09-22', '2009-11-16', '2009-12-03']","['2009-08-17', '2009-09-02', '2009-10-02']",BULLISH
PLD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,25.25619340446455,21.272586306231062,2009-09-04,2009-12-21,75,0.1872648224756118,4,4,1,2,3,0.0,1.0310788070331909,"['2009-09-16', '2009-09-22', '2009-11-16', '2009-12-03']","['2009-10-01', '2009-10-28', '2009-10-30', '2009-11-06']",BULLISH
PLD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,28.94540132474816,24.026964424560827,2010-02-23,2010-06-30,90,0.2047048812857779,4,3,0,1,4,-0.0202480026040825,-0.064444323780203,"['2010-03-17', '2010-04-06', '2010-04-26', '2010-05-12']","['2010-05-06', '2010-05-21', '2010-06-04']",BEARISH
PLD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,36.92565786375536,34.786943705266644,2011-03-30,2011-06-02,45,0.0614803696642347,2,3,0,2,3,-0.0440516195766328,-0.3352219872846592,"['2011-04-28', '2011-05-31']","['2011-04-12', '2011-05-12', '2011-05-23']",BEARISH
PLD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,36.49112131716279,30.77018284390923,2012-01-18,2012-12-31,240,0.1859247474178071,4,4,1,1,3,0.0201286332538151,0.9998042910789496,"['2012-04-02', '2012-05-01', '2012-09-11', '2012-10-17']","['2012-05-18', '2012-06-01', '2012-06-25', '2012-07-24']",BULLISH
PLD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,36.22519944795157,32.93718989325154,2012-02-07,2012-05-16,70,0.0998266568992791,2,3,0,0,3,-0.0113500917954269,0.0495158478590264,"['2012-04-02', '2012-05-01']","['2012-02-10', '2012-02-22', '2012-04-12']",BEARISH
PLD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,36.968188255244186,32.55689797271983,2012-07-26,2013-01-03,110,0.1354947970233735,2,3,0,3,3,0.0013387698474059,1.097888201179002,"['2012-09-13', '2012-12-20']","['2012-08-13', '2012-08-24', '2012-11-14']",BULLISH
PLD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,37.74522068080399,36.755374311508035,2013-12-23,2014-01-29,25,0.0269306567498629,2,4,0,0,3,-0.0059092458610841,0.2572358882381656,"['2014-01-06', '2014-01-22']","['2013-12-24', '2013-12-31', '2014-01-09', '2014-01-13']",BEARISH
PLD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,41.47338119420226,39.888447026932226,2014-03-07,2014-06-02,60,0.0397341657899066,6,4,0,2,5,0.0,1.023103248126711,"['2014-04-04', '2014-04-09', '2014-04-21', '2014-05-08', '2014-05-16', '2014-05-27']","['2014-03-19', '2014-03-26', '2014-04-11', '2014-04-22']",BULLISH
PLD,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,43.82734366943096,36.45217200360098,2015-03-23,2016-02-18,230,0.2023246149804575,4,3,2,1,3,0.0056059554085707,0.1651251280002963,"['2015-04-20', '2015-10-28', '2015-11-23', '2015-12-29']","['2015-08-25', '2015-09-01', '2016-01-20']",BEARISH
