SYMBOL,INTERVAL,DATA_DURATION,DATA_DURATION_UNITS,MIN_PRICE_RANGE_PCT,MAX_PRICE_RANGE_PCT,MIN_CANDLE_COUNT,MAX_CANDLE_COUNT,WINDOW_START_STRIDE,WINDOW_END_STRIDE,RESISTANCE_AREA_PCT,SUPPORT_AREA_PCT,MIN_HIT_RESISTANCE_COUNT,MIN_HIT_SUPPORT_COUNT,CONSIDER_PIN,MIN_ALTERNATION,MIN_LAST_CANDLE_RETURN_LIVE,LAST_CANDLE_MIN_PCT_ABOVE_SUPPORT_LIVE,NUM_CANDLES_PAUSE,PCT_CANDLES_PAUSE,MIN_BREAKOUT_PCT,USING_RATIO,MIN_OUTSIDE_CANDLE_COUNT,OUTSIDE_TO_INSIDE_CANDLE_RATIO,DESIRED_BINS,PEAK_TROUGH_LOOKUP_WIDTH,UNIQUE_HIT_VALUES,PRICE_RANGE_TOLERANCE,ABSOLUTE_NUM_CANDLES_DIFFERENCE,PCT_CANDLES_DIFFERENCE,NUM_CANDLES_DIFFERENCE,resistance_line,support_line,start_date,end_date,num_candles,price_range_pct,num_res_hits,num_sup_hits,num_res_breakouts,num_sup_breakouts,alternation,last_candle_return,last_candle_pct_above_support,resistance_hits,support_hits,breakout_type
UNP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,17.912446352040142,16.753811851245114,2005-07-28,2005-11-17,80,0.0691564708427187,2,2,1,0,3,0.0388732695243728,1.45532407472372,"['2005-09-30', '2005-11-03']","['2005-09-13', '2005-10-21']",BULLISH
UNP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,20,5,True,0.15,False,1.0,18,24.03447822967757,19.937983490017764,2006-01-19,2007-01-17,250,0.2054618382902551,4,2,2,1,3,-0.0145656437724337,0.871969077436362,"['2006-04-04', '2006-04-18', '2006-05-09', '2006-12-05']","['2006-08-08', '2006-08-24']",BULLISH
UNP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,24.320988510901543,22.787848823680193,2006-03-21,2006-06-07,55,0.0672788247404983,4,5,0,1,4,-0.0313368125543601,-0.6492228266869978,"['2006-04-19', '2006-04-21', '2006-05-10', '2006-05-16']","['2006-04-12', '2006-04-28', '2006-05-19', '2006-05-24', '2006-05-30']",BEARISH
UNP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,23.147086269552783,22.396591057042222,2006-10-17,2006-12-05,35,0.0335093501774048,6,4,0,0,7,0.0416892445168334,2.1198112306358476,"['2006-10-18', '2006-10-23', '2006-10-25', '2006-11-13', '2006-11-16', '2006-11-22']","['2006-10-19', '2006-11-03', '2006-11-14', '2006-11-28']",BULLISH
UNP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,32.433598588175755,26.327441366380967,2007-04-03,2007-12-10,175,0.2319312817686907,2,2,0,1,3,0.0031147892342925,1.2262306698560888,"['2007-07-18', '2007-10-23']","['2007-08-15', '2007-09-10']",BULLISH
UNP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,30.48622297975826,28.07985277779146,2007-04-16,2007-07-17,65,0.0856973938221647,2,3,0,1,4,0.0140776003961939,1.2031181242653244,"['2007-06-01', '2007-06-15']","['2007-05-01', '2007-06-13', '2007-06-27']",BULLISH
UNP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,33.869733187258525,26.234310394001568,2007-04-20,2008-04-16,250,0.2910472079724567,2,3,0,0,3,0.0433156126211756,1.0357241047656265,"['2007-12-06', '2008-04-04']","['2007-08-16', '2007-09-10', '2008-01-22']",BULLISH
UNP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,33.86317557983254,27.241360359600375,2007-09-04,2008-04-22,160,0.2430794619953151,2,4,0,2,3,-0.0071117250060653,1.0516212307129524,"['2007-12-06', '2008-04-04']","['2007-09-05', '2007-09-25', '2007-10-04', '2008-01-17']",BULLISH
UNP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,41.6955904017389,34.803753631615265,2008-04-23,2008-08-28,90,0.1980199274788331,3,3,0,1,3,0.0191067266619165,1.0253065381498785,"['2008-06-03', '2008-07-30', '2008-08-08']","['2008-07-02', '2008-07-11', '2008-07-15']",BULLISH
UNP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,39.12924812727713,33.67151005237643,2010-02-23,2010-09-10,140,0.1620877135124359,4,5,0,2,5,0.0008899020031184,1.0431962010551334,"['2010-04-22', '2010-04-29', '2010-06-21', '2010-08-05']","['2010-05-06', '2010-05-20', '2010-05-25', '2010-07-01', '2010-07-19']",BULLISH
UNP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,49.557006267943606,45.41230099291274,2010-11-29,2011-04-20,100,0.0912683388511343,4,2,0,1,3,-0.0128442252766106,0.6327829557144657,"['2011-01-13', '2011-02-11', '2011-03-29', '2011-04-15']","['2010-12-14', '2011-03-15']",BULLISH
UNP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,58.10069654577429,52.45727480269243,2011-12-27,2012-06-18,120,0.1075812985769553,3,5,0,0,4,0.0289022339639754,1.1761882631131968,"['2012-01-26', '2012-02-08', '2012-05-01']","['2012-03-06', '2012-03-29', '2012-04-10', '2012-04-19', '2012-06-04']",BULLISH
UNP,1d,20,years,0.02,1.0,20,250,2,5,0.05,0.05,2,2,False,3,-1.0,-1.0,2,0.3,0.25,False,3,0.05,5,5,True,0.15,False,1.0,18,56.6360172450152,52.43831047010295,2012-02-07,2012-05-02,60,0.0800503818158962,3,4,3,0,3,0.0020033390978534,1.2105871753671873,"['2012-02-13', '2012-02-24', '2012-03-15']","['2012-03-06', '2012-03-29', '2012-04-10', '2012-04-19']",BULLISH
