Rank ID,SYMBOL,INTERVAL,DATA_DURATION,DATA_DURATION_UNITS,MIN_PRICE_RANGE_PCT,MAX_PRICE_RANGE_PCT,MIN_CANDLE_COUNT,MAX_CANDLE_COUNT,WINDOW_START_STRIDE,WINDOW_END_STRIDE,RESISTANCE_AREA_PCT,SUPPORT_AREA_PCT,MIN_HIT_RESISTANCE_COUNT,MIN_HIT_SUPPORT_COUNT,CONSIDER_PIN,MIN_ALTERNATION,MIN_LAST_CANDLE_RETURN_LIVE,LAST_CANDLE_MIN_PCT_ABOVE_SUPPORT_LIVE,NUM_CANDLES_PAUSE,PCT_CANDLES_PAUSE,MIN_BREAKOUT_PCT,USING_RATIO,MIN_OUTSIDE_CANDLE_COUNT,OUTSIDE_TO_INSIDE_CANDLE_RATIO,DESIRED_BINS,PEAK_TROUGH_LOOKUP_WIDTH,UNIQUE_HIT_VALUES,PRICE_RANGE_TOLERANCE,ABSOLUTE_NUM_CANDLES_DIFFERENCE,PCT_CANDLES_DIFFERENCE,NUM_CANDLES_DIFFERENCE,resistance_line,support_line,start_date,end_date,num_candles,price_range_pct,num_res_hits,num_sup_hits,num_res_breakouts,num_sup_breakouts,alternation,last_candle_return,last_candle_pct_above_support,resistance_hits,support_hits,breakout_type,concentration_score,customer_pre_sideway_bar_change,customer_post_sideway_bar_change,pre_sideway_5_bar_change,pre_sideway_10_bar_change,pre_sideway_22_bar_change,pre_sideway_44_bar_change,pre_sideway_132_bar_change,post_sideway_5_bar_change,post_sideway_10_bar_change,post_sideway_22_bar_change,post_sideway_44_bar_change,post_sideway_132_bar_change,concentration_score_scaled,alternation_score_scaled,max_alternation,sideway_score
1,AMZN,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,21.807559132402044,21.108117209247386,2015-05-01,2015-06-19,35.0,0.0331361587687337,4.0,4.0,0.0,2.0,8.0,-0.0101731628979684,0.911988629152502,"['2015-05-11', '2015-05-21', '2015-06-03', '2015-06-11']","['2015-05-18', '2015-05-26', '2015-06-08', '2015-06-15']",BULLISH,0.8965564224523509,0.12597185599304425,0.002575174979894602,-0.04994382513104827,0.12597185599304425,0.13644181105140687,0.11234743367879277,0.34103946595933543,0.025587077930261062,0.00740179569614957,0.03244499937439559,0.031144355989829037,0.5592734980243625,0.0354014679804403,1.0,8.0,0.7106204403941321
2,SO,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,53.53619245347045,51.54646095775943,2020-08-18,2020-09-29,30.0,0.0386007391921927,4.0,4.0,0.0,0.0,6.0,-0.0001861538205852,1.0823268414970073,"['2020-09-02', '2020-09-09', '2020-09-15', '2020-09-22']","['2020-08-26', '2020-09-01', '2020-09-04', '2020-09-10']",BULLISH,11.97387229972142,-0.025532685979284455,0.08640594643809929,-0.02103708098428625,-0.025532685979284455,-0.028032292830074742,-0.056385661949705165,-0.2248685367526337,-0.012064079148965116,-0.023374135374223965,-0.00452399372707002,0.10461827176018763,0.06918005723699855,0.8458178877379764,0.6,8.0,0.6737453663213928
3,COP,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,74.7975333886099,69.2414927622641,2021-11-03,2021-12-15,30.0,0.0802414911160579,4.0,3.0,1.0,0.0,6.0,0.0004244309446427,0.264308060535977,"['2021-11-04', '2021-11-23', '2021-11-29', '2021-12-07']","['2021-11-19', '2021-11-26', '2021-12-01']",BEARISH,11.02214623574139,-0.04314652623174031,0.022203361832159575,-0.02270593086761991,-0.04314652623174031,0.017484963454356017,0.3310154772699193,0.3714177339404053,0.00357440395746796,-0.010585601672803011,0.0009623274248002738,0.07904866880486905,0.4147650080337296,0.7761896097411972,0.6,8.0,0.6528568829223591
4,PEP,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,101.46290442341883,97.77129027743294,2015-11-02,2016-01-13,50.0,0.0377576498736049,5.0,4.0,1.0,1.0,7.0,-0.0114730866120699,-0.3443724688332559,"['2015-11-04', '2015-11-19', '2015-12-04', '2015-12-16', '2015-12-29']","['2015-11-13', '2015-12-11', '2015-12-18', '2016-01-04']",BEARISH,3.037465253019152,0.012178091604977704,0.009844527961059085,-0.01111760658738019,0.012178091604977704,0.08044755646788537,0.0911438845678276,0.07312947209578577,-0.024852112766663086,-0.018145995459532053,-0.02278111590953705,-0.01893489289993056,0.046351054018896366,0.19203035612612918,0.8,8.0,0.6176091068378387
5,GOOGL,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,119.16156753742052,105.23429677162126,2022-04-29,2022-08-16,75.0,0.1323453588141908,4.0,6.0,2.0,0.0,7.0,-0.0031127529252363,1.182263234018198,"['2022-05-04', '2022-06-06', '2022-06-27', '2022-07-07']","['2022-05-20', '2022-05-24', '2022-06-14', '2022-06-16', '2022-07-05', '2022-07-26']",BULLISH,2.014586536375487,-0.09958578041756681,-0.10484794434516433,-0.04619031196240207,-0.09958578041756681,-0.19926246675318335,-0.15134672985670122,-0.19510260120226375,0.014345878998914189,0.017009994276758828,-0.0019060532635846745,-0.007418283348577605,-0.224516800654696,0.11719655012357721,0.8,8.0,0.5951589650370731
6,CCI,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,67.63819332163673,64.04376489965264,2012-09-27,2012-12-10,50.0,0.0561245646257062,5.0,4.0,1.0,1.0,7.0,-0.0083272420779685,1.06727187285253,"['2012-10-04', '2012-10-16', '2012-11-02', '2012-11-23', '2012-11-29']","['2012-10-09', '2012-10-23', '2012-10-25', '2012-11-15']",BULLISH,1.91542414645248,0.013743634227540172,0.04949912708168791,-0.001998727730444017,0.013743634227540172,0.04609193328306499,0.06953378037387555,0.22195039471561007,0.013557190013404039,-0.014327593088951377,0.028346883902037216,0.03943918370302181,0.13541816037924354,0.10994182976474817,0.8,8.0,0.5929825489294244
7,XOM,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,118.96499526605037,113.45047282912084,2024-07-12,2024-09-06,40.0,0.0486073111853441,5.0,3.0,2.0,0.0,7.0,-0.0046832092239294,-0.1469707393055191,"['2024-07-18', '2024-07-31', '2024-08-09', '2024-08-26', '2024-08-29']","['2024-07-23', '2024-08-05', '2024-08-22']",BEARISH,1.7609077319210062,-0.014186291219895017,0.023348697333708122,-0.0008821213821365481,-0.014186291219895017,0.0016801804822712295,-0.024795564743671724,0.106584563966987,0.02471972397581252,0.03584360650051094,0.0405226812334873,-0.01871629893190494,,0.09863740901465219,0.8,8.0,0.5895912227043956
8,RTX,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,20.0,5.0,1.0,0.15,0.0,1.0,18.0,47.65861131697632,45.20081531353699,2012-05-17,2012-08-03,55.0,0.0543750369631773,6.0,4.0,2.0,1.0,7.0,0.0318377347050598,1.276656790303174,"['2012-06-07', '2012-06-19', '2012-06-29', '2012-07-10', '2012-07-19', '2012-07-30']","['2012-06-01', '2012-06-28', '2012-07-12', '2012-07-24']",BULLISH,1.43372483825014,-0.0936843116251634,0.046348120863015034,-0.051235619004716376,-0.0936843116251634,-0.09736583551849728,-0.15605937741722703,-0.06395202319639207,0.00231831911861897,-0.01786443181342864,0.04186555666854434,0.012273303422062691,0.0750034015129336,0.0747007088038405,0.8,8.0,0.5824102126411521
9,AMZN,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,20.0,5.0,1.0,0.15,0.0,1.0,18.0,172.9001437434126,147.5887234826024,2020-07-02,2021-06-29,250.0,0.1714996895666888,5.0,6.0,4.0,2.0,7.0,0.0012340341405478,0.980516855329842,"['2020-08-26', '2020-10-12', '2021-02-03', '2021-04-19', '2021-04-27']","['2020-07-14', '2020-07-23', '2020-09-17', '2020-09-24', '2020-11-02', '2021-03-04']",BULLISH,1.1867631843395574,0.0890435783703951,0.06772928077289163,0.04927063502192726,0.0890435783703951,0.16902132704025,0.16827003197191284,0.611991042163361,0.10715151144000037,0.024796706977716562,0.08598760312471788,0.16527692355612197,0.07746943675571631,0.056632994422750216,0.8,8.0,0.576989898326825
10,CCI,1d,20.0,years,0.02,1.0,20.0,250.0,2.0,5.0,0.05,0.05,2.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.3,0.25,0.0,3.0,0.05,5.0,5.0,1.0,0.15,0.0,1.0,18.0,35.4303192346231,32.59439324253278,2006-06-19,2006-12-28,135.0,0.0870065587964277,7.0,6.0,0.0,3.0,7.0,0.0012418788160297,-0.121439432303004,"['2006-07-03', '2006-07-06', '2006-08-01', '2006-09-13', '2006-09-25', '2006-09-29', '2006-11-30']","['2006-07-14', '2006-07-18', '2006-07-21', '2006-08-10', '2006-10-24', '2006-11-08']",BEARISH,1.1134949649268508,-0.029706071751225784,0.0595348269440407,0.06416218094156696,-0.029706071751225784,-0.02852814627135058,0.05434774960508598,0.1781375867371527,0.03655114167424105,0.09434553627364954,0.039050298829885345,0.04654800864092733,-0.0024991571556443044,0.05127269155549156,0.8,8.0,0.5753818074666474
